id,text_len,summary_len
train_0,931,187
train_1,776,101
train_2,500,81
train_3,526,110
train_4,480,93
train_5,302,53
train_6,274,52
train_7,1403,264
train_8,495,99
train_9,503,101
train_10,809,132
train_11,530,98
train_12,372,83
train_13,603,133
train_14,1567,303
train_15,234,66
train_16,288,79
train_17,657,151
train_18,539,109
train_19,354,57
train_20,533,117
train_21,585,92
train_22,1080,198
train_23,447,83
train_24,730,146
train_25,1051,186
train_26,502,81
train_27,743,160
train_28,852,175
train_29,423,82
train_30,524,87
train_31,682,94
train_32,350,77
train_33,1263,223
train_34,992,192
train_35,1429,241
train_36,921,163
train_37,824,143
train_38,537,111
train_39,943,156
train_40,775,119
train_41,397,77
train_42,497,82
train_43,579,103
train_44,535,87
train_45,951,142
train_46,615,139
train_47,752,112
train_48,720,155
train_49,547,104
train_50,1070,141
train_51,308,74
train_52,910,187
train_53,261,87
train_54,868,127
train_55,930,119
train_56,256,108
train_57,504,108
train_58,1615,245
train_59,400,126
train_60,440,68
train_61,652,151
train_62,903,198
train_63,1770,265
train_64,797,152
train_65,457,84
train_66,559,136
train_67,513,99
train_68,455,71
train_69,929,199
train_70,1043,212
train_71,607,155
train_72,623,118
train_73,482,85
train_74,1176,176
train_75,592,142
train_76,938,157
train_77,238,70
train_78,260,83
train_79,870,146
train_80,961,144
train_81,885,160
train_82,294,80
train_83,575,132
train_84,550,81
train_85,821,176
train_86,457,106
train_87,784,117
train_88,321,69
train_89,634,121
train_90,860,158
train_91,529,125
train_92,1012,142
train_93,618,119
train_94,715,172
train_95,1034,205
train_96,974,193
train_97,809,165
train_98,980,142
train_99,410,103
train_100,603,130
train_101,593,105
train_102,461,106
train_103,499,96
train_104,391,105
train_105,435,102
train_106,483,109
train_107,1178,143
train_108,772,123
train_109,461,128
train_110,273,83
train_111,845,168
train_112,1040,186
train_113,355,85
train_114,816,141
train_115,691,190
train_116,419,66
train_117,1183,199
train_118,1099,108
train_119,738,163
train_120,557,104
train_121,298,83
train_122,390,133
train_123,707,181
train_124,925,170
train_125,535,91
train_126,863,151
train_127,889,178
train_128,677,146
train_129,292,64
train_130,255,89
train_131,650,122
train_132,791,171
train_133,453,96
train_134,424,68
train_135,616,142
train_136,412,78
train_137,436,81
train_138,702,98
train_139,1526,305
train_140,545,103
train_141,869,163
train_142,625,145
train_143,732,66
train_144,660,139
train_145,726,198
train_146,656,81
train_147,384,82
train_148,483,81
train_149,965,183
train_150,776,122
train_151,812,64
train_152,331,76
train_153,324,59
train_154,1420,125
train_155,1708,144
train_156,722,105
train_157,449,114
train_158,415,133
train_159,542,117
train_160,909,86
train_161,576,69
train_162,668,70
train_163,772,106
train_164,249,66
train_165,557,162
train_166,563,86
train_167,488,93
train_168,569,67
train_169,1368,185
train_170,345,60
train_171,419,88
train_172,823,114
train_173,442,86
train_174,546,89
train_175,1343,179
train_176,460,88
train_177,1132,155
train_178,920,138
train_179,634,65
train_180,556,77
train_181,998,154
train_182,457,125
train_183,1140,77
train_184,931,128
train_185,998,114
train_186,743,205
train_187,864,137
train_188,267,66
train_189,662,147
train_190,1104,115
train_191,667,110
train_192,784,101
train_193,583,161
train_194,613,143
train_195,810,95
train_196,269,64
train_197,342,93
train_198,260,77
train_199,973,155
train_200,692,136
train_201,830,121
train_202,549,123
train_203,339,105
train_204,375,74
train_205,982,147
train_206,490,133
train_207,490,106
